scale,gender,score,age
1,2,8,56
1,2,5,33
1,2,7,49
1,1,4,53
1,1,5,74
1,2,3,42
1,1,3,51
1,2,7,59
1,2,9,25
1,2,4,57
1,2,7,53
1,2,6,46
1,1,4,55
1,2,6,35
1,2,3,68
1,2,9,52
1,2,1,58
1,2,6,54
1,1,4,41
1,1,6,58
1,2,7,49
1,2,5,39
1,1,7,40
1,1,6,33
1,1,7,32
1,2,3,51
1,2,5,39
1,2,5,22
1,2,6,53
1,2,3,29
1,1,6,51
1,1,4,31
1,2,10,46
1,2,2,14
1,1,5,34
1,2,2,41
1,1,8,65
1,2,99,57
1,1,1,36
1,2,3,43
1,2,8,83
1,1,99,38
1,2,6,24
1,1,4,16
1,2,5,67
1,2,10,31
1,2,1,56
1,1,10,51
1,1,9,51
1,1,7,56
2,1,7,53
2,2,6,40
2,2,6,47
2,1,7,48
2,2,7,40
2,2,1,41
2,1,3,35
2,2,8,45
2,2,4,46
2,1,5,57
2,1,7,65
2,1,7,48
2,2,8,15
2,2,7,49
2,1,7,37
2,2,1,29
2,2,6,37
2,1,7,40
2,1,2,72
2,2,6,39
2,2,3,40
2,1,3,63
2,2,8,43
2,2,6,43
2,2,5,32
2,1,7,17
2,1,7,57
2,2,8,32
2,1,5,51
2,1,6,40
2,1,8,42
2,1,99,37
2,1,7,46
2,1,8,55
2,2,9,54
2,1,3,39
2,1,6,69
2,2,4,49
2,2,2,65
2,2,9,47
2,2,5,42
2,2,5,56
2,1,3,37
2,1,3,19
2,1,8,82
2,1,6,52
2,1,9,64
2,1,8,41
2,1,7,27
2,2,6,60
3,1,3,45
3,1,5,45
3,2,10,68
3,1,3,32
3,1,3,50
3,1,7,31
3,1,7,38
3,2,6,33
3,1,9,68
3,2,7,36
3,1,5,44
3,2,3,40
3,1,8,45
3,2,4,24
3,1,9,62
3,1,7,45
3,1,5,33
3,2,5,26
3,1,4,89
3,1,7,59
3,1,5,64
3,2,7,28
3,2,5,66
3,2,7,50
3,1,9,50
3,2,6,42
3,2,6,26
3,1,6,57
3,2,5,59
3,1,8,50
3,2,99,66
3,1,8,55
3,2,9,40
3,2,5,70
3,2,6,42
3,1,7,45
3,1,5,38
3,1,3,43
3,2,3,50
3,2,5,42
3,1,6,74
3,2,6,66
3,1,5,40
3,1,3,49
3,1,6,62
3,2,6,33
3,2,7,54
3,2,6,61
3,1,8,46
3,1,4,15
