순위,영화명,영화장르,개봉일,관객수,스크린수
1,명량,액션,2014-07-30,"17,615,057","1,587"
2,국제시장,드라마,2014-12-17,"14,262,199","1,044"
3,베테랑,액션,2015-08-05,"13,414,200","1,115"
4,아바타,SF,2009-12-17,"13,302,637",917
5,도둑들,범죄,2012-07-25,"12,983,841","1,091"
6,7번방의 선물,코미디,2013-01-23,"12,811,213",866
7,암살,액션,2015-07-22,"12,705,783","1,519"
8,"광해, 왕이 된 남자",드라마,2012-09-13,"12,323,555","1,001"
9,변호인,드라마,2013-12-18,"11,374,861",925
10,해운대,모험,2009-07-22,"11,324,545",764
11,괴물,모험,2006-07-27,"10,917,221",647
12,왕의 남자,드라마,2005-12-29,"10,513,715",313
13,어벤져스: 에이지 오브 울트론,액션,2015-04-23,"10,494,499","1,843"
14,인터스텔라,SF,2014-11-06,"10,304,503","1,410"
15,겨울왕국,애니메이션,2014-01-16,"10,296,101","1,010"
16,검사외전,범죄,2016-02-03,"9,706,697","1,812"
17,설국열차,SF,2013-08-01,"9,350,323","1,128"
18,관상,드라마,2013-09-11,"9,135,802","1,240"
19,아이언맨 3,액션,2013-04-25,"9,001,309","1,389"
20,캡틴 아메리카: 시빌 워,액션,2016-04-27,"8,676,320","1,990"
21,해적: 바다로 간 산적,모험,2014-08-06,"8,666,208",910
22,수상한 그녀,코미디,2014-01-22,"8,659,098","1,027"
23,과속스캔들,코미디,2008-12-03,"8,223,342",408
24,국가대표,드라마,2009-07-29,"8,035,181",570
25,디워,판타지,2007-08-01,"7,855,474",622
26,트랜스포머 3,액션,2011-06-29,"7,785,189","1,409"
27,히말라야,드라마,2015-12-16,"7,759,667","1,095"
28,미션임파서블:고스트프로토콜,액션,2011-12-15,"7,508,976","1,024"
29,최종병기 활,액션,2011-08-10,"7,470,633",615
30,트랜스포머,SF,2007-06-28,"7,402,732",863
31,트랜스포머: 패자의 역습,SF,2009-06-24,"7,393,443","1,154"
32,써니,코미디,2011-05-04,"7,363,010",546
33,베를린,액션,2013-01-30,"7,166,473",894
34,어벤져스,액션,2012-04-26,"7,074,891",967
35,내부자들,범죄,2015-11-19,"7,072,057","1,129"
36,은밀하게 위대하게,액션,2013-06-05,"6,959,083","1,341"
37,부산행,액션,2016-07-20,"6,955,546","1,786"
38,곡성,미스터리,2016-05-12,"6,878,049","1,485"
39,화려한 휴가,드라마,2007-07-25,"6,855,433",551
40,"좋은 놈, 나쁜 놈, 이상한 놈",액션,2008-07-17,"6,686,007",824
41,늑대소년,드라마,2012-10-31,"6,655,061",854
42,웰컴 투 동막골,드라마,2005-08-04,"6,436,900",356
43,다크 나이트 라이즈,액션,2012-07-19,"6,396,615","1,210"
44,사도,드라마,2015-09-16,"6,247,166","1,210"
45,아저씨,액션,2010-08-04,"6,178,569",501
46,킹스맨 : 시크릿 에이전트,액션,2015-02-11,"6,129,681",728
47,미션 임파서블: 로그네이션,액션,2015-07-30,"6,126,488","1,202"
48,미녀는 괴로워,코미디,2006-12-14,"6,081,480",418
49,전우치,액션,2009-12-23,"6,065,474",612
50,연평해전,드라마,2015-06-24,"6,044,688","1,013"
51,레미제라블,드라마,2012-12-19,"5,919,945",696
52,인셉션,액션,2010-07-21,"5,827,444",531
53,타짜,범죄,2006-09-28,"5,685,715",492
54,숨바꼭질,스릴러,2013-08-14,"5,604,106",779
55,더 테러 라이브,스릴러,2013-07-31,"5,584,139",809
56,쥬라기 월드,액션,2015-06-11,"5,546,792","1,290"
57,감시자들,범죄,2013-07-03,"5,508,017",949
58,검은 사제들,미스터리,2015-11-05,"5,442,553","1,109"
59,의형제,액션,2010-02-04,"5,416,829",569
60,2012,액션,2009-11-12,"5,397,597",856
61,완득이,드라마,2011-10-20,"5,311,307",629
62,트랜스포머: 사라진 시대,액션,2014-06-25,"5,295,801","1,602"
63,월드 워 Z,드라마,2013-06-20,"5,237,525",964
64,타워,드라마,2012-12-25,"5,181,014",638
65,미션 임파서블 3,모험,2006-05-03,"5,127,047",441
66,투사부일체,코미디,2006-01-19,"5,074,314",407
67,쿵푸팬더 2,애니메이션,2011-05-26,"5,064,796",948
68,추격자,범죄,2008-02-14,"5,046,096",433
69,인사이드 아웃,애니메이션,2015-07-09,"4,969,735",931
70,바람과 함께 사라지다,코미디,2012-08-08,"4,909,937",694
71,마션,모험,2015-10-08,"4,881,865","1,132"
72,어메이징 스파이더맨,액션,2012-06-28,"4,853,273","1,118"
73,"님아, 그 강을 건너지 마오",다큐멘터리,2014-11-27,"4,801,818",806
74,조선명탐정 : 각시투구꽃의 비밀,코미디,2011-01-27,"4,786,259",634
75,군도: 민란의 시대,액션,2014-07-23,"4,775,441","1,394"
76,범죄와의 전쟁: 나쁜놈들 전성시대,범죄,2012-02-02,"4,720,050",713
77,주토피아,애니메이션,2016-02-17,"4,703,057",735
78,엣지 오브 투모로우,액션,2014-06-04,"4,699,307",801
79,신세계,범죄,2013-02-21,"4,682,492",671
80,도가니,드라마,2011-09-22,"4,662,914",756
81,쿵푸 팬더,애니메이션,2008-06-05,"4,654,266",563
82,내 아내의 모든 것,멜로/로맨스,2012-05-17,"4,598,985",563
83,스파이더맨 3,SF,2007-05-01,"4,592,309",806
84,맘마미아!,코미디,2008-09-03,"4,578,239",451
85,캐리비안의 해적: 세상의 끝에서,모험,2007-05-23,"4,571,229",953
86,가문의 위기(가문의 영광2),코미디,2005-09-07,"4,529,876",351
87,연가시,드라마,2012-07-05,"4,515,833",759
88,터미네이터 : 미래전쟁의 시작,SF,2009-05-21,"4,499,776",702
89,아이언맨 2,SF,2010-04-29,"4,425,003",921
90,해리포터와 죽음의 성물2,모험,2011-07-13,"4,400,270",757
91,엑스맨: 데이즈 오브 퓨처 패스트,액션,2014-05-22,"4,313,871","1,056"
92,강철중: 공공의 적 1-1,범죄,2008-06-19,"4,313,102",707
93,아이언맨,SF,2008-04-30,"4,300,365",592
94,아가씨,스릴러,2016-06-01,"4,283,809","1,171"
95,박물관이 살아있다!,모험,2006-12-21,"4,245,247",345
96,말아톤,드라마,2005-01-27,"4,196,859",238
97,어메이징 스파이더맨 2,액션,2014-04-23,"4,168,350","1,312"
98,용의자,액션,2013-12-24,"4,131,338",807
99,건축학개론,멜로/로맨스,2012-03-22,"4,112,233",593
100,인디아나 존스 4 : 크리스탈 해골의 왕국,모험,2008-05-22,"4,111,753",771
101,미이라 3:황제의 무덤,모험,2008-07-30,"4,090,885",634
102,다크 나이트,액션,2008-08-06,"4,086,362",462
103,댄싱퀸,코미디,2012-01-18,"4,058,225",544
104,7급 공무원,액션,2009-04-22,"4,039,891",475
105,우리 생애 최고의 순간,드라마,2008-01-10,"4,018,872",418
106,타짜-신의 손,드라마,2014-09-03,"4,015,361",890
107,혹성탈출: 반격의 서막,액션,2014-07-10,"4,002,560",956
108,쿵푸팬더3,애니메이션,2016-01-28,"3,984,796","1,365"
109,캡틴 아메리카: 윈터 솔져,액션,2014-03-26,"3,963,220","1,106"
110,캐리비안의 해적 : 망자의 함,모험,2006-07-06,"3,911,617",456
111,박수건달,코미디,2013-01-09,"3,897,969",603
112,조선명탐정 : 사라진 놉의 딸,코미디,2015-02-11,"3,872,015",825
113,매드 맥스: 분노의 도로,액션,2015-05-14,"3,871,495",799
114,역린,드라마,2014-04-30,"3,849,454","1,054"
115,쌍화점,드라마,2008-12-30,"3,749,034",532
116,신기전,드라마,2008-09-04,"3,728,439",585
117,해리 포터와 불사조 기사단,판타지,2007-07-11,"3,691,060",768
118,인턴,코미디,2015-09-24,"3,610,722",659
119,귀향,드라마,2016-02-24,"3,586,543",876
120,리얼 스틸,액션,2011-10-12,"3,579,666",603
121,신의 한 수,범죄,2014-07-03,"3,566,844",794
122,태풍,액션,2005-12-14,"3,471,150",481
123,킹콩,모험,2005-12-14,"3,470,061",319
124,부러진 화살,드라마,2012-01-18,"3,460,185",530
125,끝까지 간다,범죄,2014-05-29,"3,450,305",645
126,스파이,드라마,2013-09-05,"3,436,012",785
127,해리포터와 불의 잔,판타지,2005-12-01,"3,430,975",504
128,비긴 어게인,드라마,2014-08-13,"3,429,923",525
129,어바웃 타임,멜로/로맨스,2013-12-05,"3,395,905",568
130,맨 인 블랙 3,액션,2012-05-24,"3,379,762",770
131,이끼,드라마,2010-07-14,"3,350,311",740
132,한반도,드라마,2006-07-13,"3,331,593",483
133,포화속으로,전쟁,2010-06-16,"3,330,326",742
134,데드풀,액션,2016-02-17,"3,317,184","1,036"
135,스타워즈: 깨어난 포스,액션,2015-12-17,"3,273,873",940
136,분노의 질주: 더 세븐,액션,2015-04-01,"3,247,955",983
137,터미네이터 제니시스,액션,2015-07-02,"3,240,370","1,113"
138,그래비티,SF,2013-10-17,"3,227,647",636
139,아일랜드,SF,2005-07-21,"3,218,811",340
140,다이 하드 4 : 죽어도 산다,액션,2007-07-17,"3,176,937",528
141,공공의 적 2,드라마,2005-01-27,"3,134,424",299
142,캐리비안의 해적: 낯선 조류,액션,2011-05-19,"3,130,046",960
143,퀵,액션,2011-07-20,"3,125,069",514
144,친절한 금자씨,스릴러,2005-07-29,"3,120,195",386
145,감기,드라마,2013-08-14,"3,117,859",806
146,스물,코미디,2015-03-25,"3,044,859",926
147,토르: 다크 월드,액션,2013-10-30,"3,039,889",733
148,거북이 달린다,범죄,2009-06-11,"3,024,666",432
149,다빈치 코드,미스터리,2006-05-18,"3,022,936",514
150,헬로우 고스트,코미디,2010-12-22,"3,019,960",472
151,하모니,드라마,2010-01-28,"3,018,154",384
152,오싹한 연애,멜로/로맨스,2011-12-01,"3,009,389",544
153,레드: 더 레전드,액션,2013-07-18,"3,004,649",739
154,드래곤 길들이기 2,애니메이션,2014-07-23,"3,000,115",829
155,방자전,드라마,2010-06-02,"2,985,556",495
156,마더,범죄,2009-05-28,"2,979,751",642
157,그놈 목소리,드라마,2007-02-01,"2,972,299",498
158,친구 2,느와르,2013-11-14,"2,971,475",968
159,식객,드라마,2007-11-01,"2,965,359",406
160,26년,액션,2012-11-29,"2,963,652",611
161,미스터 & 미세스 스미스,액션,2005-06-16,"2,963,193",302
162,해리 포터와 혼혈 왕자,판타지,2009-07-15,"2,957,736",751
163,고지전,전쟁,2011-07-20,"2,945,151",585
164,엑스맨: 아포칼립스,액션,2016-05-25,"2,935,379","1,258"
165,워낭소리,다큐멘터리,2009-01-15,"2,934,435",274
166,300,액션,2007-03-14,"2,929,561",402
