resident,   gender,               job,             age,         position,           price,survey
1,1,1,26,2,5.1,1
2,1,2,54,5,4.2,2
   ,1,2,41,4,4.7,4
4,2,        ,45,4,3.5,2
5,1,3,62,5,5,1
3,1,2,57,        ,5.4,2
2,2,1,36,3,4.1,4
5,1,2,        ,3,675,4
   ,1,1,56,5,4.4,3
2,1,2,37,3,4.9,3
5,2,        ,29,2,2.3,5
3,1,3,35,2,4.2,3
1,1,1,56,5,6.7,2
2,2,3,20,1,4.3,2
   ,1,2,63,        ,257.8,2
1,1,1,49,4,5.7,2
3,1,2,49,4,4.6,1
2,1,3,49,4,5.1,2
1,2,2,25,1,2.1,2
1,1,1,57,5,5.1,2
1,1,        ,56,5,6.2,2
1,1,3,21,1,5.1,2
2,1,1,69,5,4.1,1
1,1,2,63,5,4.1,2
1,1,1,30,2,-75,2
2,2,3,34,2,2.3,3
1,1,1,26,2,5,3
1,1,1,59,        ,               ,4
2,1,2,38,3,5.2,3
1,2,1,57,5,4.7,3
1,1,1,60,5,               ,4
2,1,2,49,4,4.4,3
1,1,1,65,5,5.2,2
3,1,3,        ,4,               ,2
2,2,1,49,4,6.3,2
5,1,3,23,1,4,1
1,1,1,63,5,5.3,2
3,1,2,        ,3,               ,2
2,1,2,45,4,4.2,3
4,2,1,29,2,4.1,3
2,1,3,28,2,5,5
5,1,        ,65,5,               ,3
3,1,1,60,5,7.1,2
5,1,2,32,2,4,2
5,2,1,25,        ,85.1,2
3,1,2,        ,5,3.8,1
1,1,3,38,3,5.3,2
1,1,3,65,5,4.7,4
1,1,1,        ,        ,5.3,2
4,1,2,24,1,6.2,2
1,2,2,61,5,7,3
2,1,2,41,4,6.4,2
1,1,1,63,5,5.1,4
1,1,3,30,2,5.5,2
1,2,2,37,3,6.4,1
   ,1,2,22,1,4.7,4
1,1,1,29,2,6.3,2
4,1,3,        ,5,3.9,3
2,1,2,25,1,4.1,2
1,2,2,36,3,4.1,3
1,1,1,47,4,5,4
3,1,3,64,5,3.5,3
   ,1,2,        ,1,6,3
1,2,2,28,        ,3.3,1
1,2,1,65,5,-457.2,2
2,2,2,24,1,6.3,2
   ,2,2,62,5,5.6,2
2,2,1,62,5,6.2,2
1,1,3,28,2,6.2,3
1,2,2,63,5,6.3,4
   ,2,2,        ,3,-5.9,3
5,2,        ,26,2,3.4,3
1,1,3,40,3,6.3,5
3,2,2,52,5,3.5,4
1,1,1,        ,2,6.4,2
1,2,2,43,4,3,2
3,2,3,44,4,6.8,2
1,2,2,30,        ,               ,2
   ,2,2,48,4,3.5,4
1,1,1,41,4,5.2,2
1,1,2,54,5,5.5,3
1,2,3,44,4,6.1,4
   ,2,2,29,2,5.8,3
1,2,2,31,2,6.1,3
5,1,2,49,4,5.4,3
1,1,1,64,5,6,2
2,1,3,65,5,6.7,2
1,2,2,46,4,5.2,2
5,1,2,42,4,5.6,2
2,2,1,38,3,5.1,4
5,2,3,65,        ,5.5,2
1,2,1,40,3,6.1,1
2,2,1,42,4,               ,2
1,1,2,40,3,5,3
1,1,3,55,5,4,3
4,2,2,41,4,5.7,3
2,1,2,63,5,115.7,4
1,1,3,45,4,               ,3
2,2,2,59,        ,75.1,3
5,2,2,43,4,5.7,3
1,2,3,        ,3,6.3,4
2,1,3,63,5,               ,2
1,1,        ,47,4,7.1,2
5,2,3,45,4,5,2
1,2,1,44,4,6.5,2
5,1,3,        ,5,               ,3
3,2,2,27,2,4.9,3
1,1,3,37,3,6.2,3
1,2,3,35,2,4.6,3
3,1,3,69,5,7.2,5
4,2,2,20,1,6.5,3
1,1,3,        ,5,6.4,3
3,2,3,20,1,6.8,2
1,2,1,24,1,5.5,2
1,2,2,46,4,5.8,2
5,1,3,25,1,4,1
3,2,3,        ,4,6,2
1,2,1,21,1,6.7,2
   ,1,3,53,5,7.7,2
5,2,2,33,2,4.3,2
5,2,3,56,5,5,3
2,1,3,45,4,4,3
1,2,3,60,5,6.7,3
2,2,1,38,3,5.4,3
1,2,3,        ,3,               ,3
4,1,3,63,5,336.5,3
2,1,2,41,4,6.2,3
1,2,3,27,2,5.9,3
2,1,2,37,3,4.9,3
2,2,3,20,1,4.3,3
   ,1,2,63,        ,225.8,3
1,1,1,49,4,5.7,3
3,1,2,49,4,4,3
1,1,3,21,1,5.1,1
2,1,1,69,5,3.8,4
1,1,2,63,5,4.1,2
1,1,1,30,2,-4.8,2
2,2,3,34,2,5.1,2
1,1,1,26,2,5,3
1,1,1,59,        ,               ,3
2,1,2,38,3,5.2,3
1,2,1,57,5,4.7,4
1,1,1,60,5,5.1,3
2,1,2,49,4,4.4,3
1,1,1,65,5,5.2,4
3,1,3,        ,4,               ,3
2,2,1,49,4,5,3
5,1,3,23,1,4,3
1,1,1,63,5,3.9,4
3,1,2,        ,3,               ,3
2,1,2,45,4,4,3
4,2,1,29,2,4.1,3
2,1,3,28,2,5,3
5,1,        ,65,5,5,2
3,1,1,60,5,4,2
5,1,2,32,2,4,2
5,2,1,25,        ,85.1,2
3,1,2,        ,5,3.8,3
1,1,3,38,3,6,3
1,1,3,65,5,3,3
1,1,1,        ,        ,5.3,3
4,1,2,24,1,5,3
1,1,2,61,5,7,2
2,1,2,41,4,6.4,1
1,1,1,63,5,6.2,2
1,1,3,30,2,5.5,2
1,1,2,37,3,4.3,5
   ,1,2,22,1,4.7,2
1,1,1,29,2,4.8,2
4,1,3,        ,5,3.9,3
2,1,2,25,1,6,3
1,1,2,36,3,4.1,3
1,1,1,47,4,5,4
3,1,3,64,5,4,3
   ,1,2,        ,1,6,3
1,2,2,28,        ,3.3,3
1,2,1,65,5,-345.6,3
