id, before, after
1, 53.2, 51.6
2, 74.8, 72.2
3, 60.3, 40.7
4, 79.0, 48.9
5, 63.0, 999.0
6, 54.0, 67.9
7, 60.2, 67.6
8, 66.1, 67.7
9, 69.1, 58.7
10, 77.9, 46.5
11, 79.6, 53.6
12, 70.2, 64.5
13, 80.9, 49.7
14, 61.9, 44.7
15, 64.9, 52.9
16, 66.9, 45.7
17, 79.6, 68.1
18, 52.7, 51.4
19, 75.7, 46.1
20, 69.1, 68.5
21, 76.8, 68.8
22, 79.6, 54.5
23, 54.7, 62.0
24, 53.4, 44.6
25, 72.4, 49.3
26, 63.9, 47.2
27, 68.5, 60.9
28, 73.3, 68.2
29, 81.0, 49.3
30, 78.4, 47.6
31, 62.5, 48.1
32, 69.2, 61.9
33, 68.0, 66.8
34, 78.6, 76.0
35, 54.1, 51.6
36, 72.9, 42.8
37, 68.1, 75.0
38, 75.4, 62.5
39, 66.8, 56.9
40, 60.3, 43.6
41, 54.4, 58.7
42, 66.1, 65.6
43, 69.4, 73.9
44, 56.3, 56.8
45, 69.4, 62.7
46, 53.0, 44.7
47, 61.3, 70.0
48, 56.7, 54.2
49, 78.7, 61.0
50, 53.0, 48.5
51, 53.1, 52.9
52, 60.7, 43.3
53, 72.3, 71.2
54, 61.9, 52.6
55, 54.8, 57.4
56, 52.3, 54.2
57, 58.7, 40.9
58, 59.1, 41.3
59, 70.4, 57.1
60, 77.4, 44.0
61, 52.2, 72.7
62, 60.9, 44.4
63, 62.5, 70.6
64, 54.6, 999.0
65, 70.6, 59.5
66, 80.2, 49.4
67, 60.4, 43.3
68, 57.3, 52.9
69, 64.4, 44.8
70, 54.0, 42.6
71, 60.1, 66.8
72, 61.3, 71.0
73, 61.2, 53.1
74, 79.2, 63.8
75, 64.4, 63.5
76, 61.1, 51.3
77, 59.8, 52.7
78, 70.8, 48.2
79, 80.7, 68.9
80, 79.3, 69.2
81, 76.9, 42.9
82, 66.6, 59.4
83, 50.6, 43.2
84, 73.0, 71.7
85, 77.7, 73.6
86, 80.8, 49.7
87, 69.5, 60.6
88, 69.9, 73.5
89, 73.7, 54.4
90, 58.6, 61.4
91, 70.4, 45.7
92, 55.3, 40.7
93, 62.4, 46.2
94, 64.4, 64.6
95, 56.0, 51.8
96, 58.1, 70.4
97, 72.6, 67.8
98, 77.9, 46.7
99, 58.3, 65.6
100, 55.4, 41.9
101, 69.6, 999.0
102, 60.9, 61.6
103, 72.9, 75.4
104, 59.3, 63.5
105, 76.7, 73.9
106, 63.7, 74.6
107, 56.5, 42.1
108, 80.4, 44.4
109, 62.0, 74.9
110, 57.7, 75.5
111, 69.8, 41.2
112, 59.7, 66.1
113, 71.4, 72.9
114, 74.7, 53.0
115, 72.7, 46.6
116, 66.5, 69.0
117, 73.4, 62.2
118, 70.9, 59.3
119, 56.5, 63.1
120, 67.3, 64.6
121, 71.7, 52.8
122, 79.1, 51.3
123, 60.3, 43.0
124, 78.5, 55.0
125, 70.5, 57.5
126, 71.4, 51.3
127, 50.3, 51.3
128, 52.7, 65.6
129, 57.0, 59.7
130, 76.1, 69.7
131, 56.0, 71.2
132, 60.9, 41.7
133, 61.7, 46.7
134, 59.1, 44.4
135, 52.7, 40.1
136, 60.2, 56.7
137, 65.3, 64.6
138, 62.3, 67.9
139, 56.8, 999.0
140, 60.0, 45.6
141, 55.7, 56.9
142, 73.2, 63.3
143, 55.4, 72.4
144, 54.9, 48.0
145, 70.6, 48.7
146, 81.0, 73.2
147, 78.1, 52.2
148, 78.8, 75.9
149, 66.4, 64.8
150, 53.9, 58.8
151, 77.0, 49.7
152, 61.9, 55.3
153, 76.0, 57.2
154, 67.1, 67.7
155, 67.3, 70.7
156, 74.9, 66.6
157, 55.3, 75.9
158, 68.7, 44.5
159, 59.7, 62.0
160, 75.1, 999.0
161, 71.4, 64.6
162, 68.4, 57.5
163, 63.4, 60.7
164, 71.9, 45.5
165, 54.9, 51.4
166, 66.6, 45.4
167, 77.0, 59.0
168, 62.2, 64.3
169, 50.1, 56.1
170, 74.1, 72.0
171, 52.6, 54.7
172, 55.1, 40.8
173, 54.5, 44.4
174, 74.4, 66.7
175, 79.9, 58.0
176, 61.3, 999.0
177, 67.9, 48.8
178, 67.1, 43.0
179, 62.7, 71.0
180, 56.2, 68.3
181, 59.7, 46.6
182, 66.7, 74.3
183, 69.1, 54.5
184, 59.6, 67.5
185, 78.4, 55.5
186, 59.6, 65.0
187, 54.2, 46.3
188, 52.6, 51.7
189, 76.0, 49.9
190, 71.0, 56.4
191, 78.5, 58.7
192, 80.8, 57.1
193, 70.6, 65.4
194, 57.1, 72.5
195, 69.2, 999.0
196, 64.3, 70.2
197, 65.3, 53.9
198, 52.1, 53.5
199, 64.2, 49.6
200, 69.0, 64.3
201, 60.9, 67.8
202, 77.1, 74.0
203, 66.7, 57.1
204, 62.5, 50.9
205, 72.6, 58.5
206, 79.3, 58.7
207, 52.5, 52.7
208, 61.4, 46.3
209, 57.2, 72.1
210, 71.5, 53.8
211, 66.0, 41.6
212, 52.9, 62.8
213, 67.6, 54.1
214, 62.5, 52.7
215, 68.6, 49.3
216, 71.7, 70.1
217, 72.9, 69.9
218, 78.3, 49.3
219, 69.6, 75.2
220, 57.0, 52.7
221, 50.5, 57.7
222, 64.4, 73.3
223, 77.1, 53.5
224, 64.2, 53.5
225, 62.1, 63.6
226, 75.4, 50.5
227, 55.9, 71.6
228, 53.0, 68.2
229, 58.9, 68.1
230, 70.7, 72.3
231, 72.7, 42.9
232, 50.9, 74.9
233, 69.8, 48.8
234, 63.3, 55.9
235, 57.1, 71.3
236, 73.4, 44.5
237, 60.3, 46.3
238, 55.5, 72.2
239, 81.0, 62.7
240, 61.8, 72.2
241, 54.9, 74.2
242, 55.6, 44.6
243, 70.2, 71.4
244, 75.9, 69.2
245, 79.9, 51.1
246, 64.3, 73.5
247, 50.8, 999.0
248, 74.6, 57.9
249, 66.4, 45.5
250, 56.7, 67.3
251, 58.1, 52.1
252, 62.5, 43.8
253, 50.4, 44.7
254, 65.2, 74.6
255, 51.3, 61.1
256, 69.6, 999.0
257, 55.4, 48.1
258, 75.7, 49.4
