no,method,survey
1,1,1
2,2,2
3,3,3
4,1,4
5,2,5
6,3,2
7,1,3
8,2,4
9,3,5
10,1,2
11,2,3
12,3,5
13,1,1
14,2,1
15,3,4
16,1,3
17,2,2
18,3,4
19,1,5
20,2,1
21,3,3
22,1,4
23,2,4
24,3,2
25,1,4
26,2,4
27,3,2
28,1,4
29,2,3
30,3,4
31,1,3
32,2,4
33,3,5
34,1,5
35,2,1
36,3,5
37,1,1
38,2,3
39,3,1
40,1,4
41,2,1
42,3,5
43,1,3
44,2,2
45,3,4
46,1,5
47,2,2
48,3,4
49,1,4
50,2,4
51,3,5
52,1,3
53,2,5
54,3,1
55,1,5
56,2,3
57,3,5
58,1,1
59,2,3
60,3,1
61,1,3
62,2,1
63,3,5
64,1,3
65,2,5
66,3,3
67,1,4
68,2,2
69,3,5
70,1,4
71,2,1
72,3,3
73,1,4
74,2,5
75,3,1
76,1,1
77,2,3
78,3,2
79,1,4
80,2,4
81,3,1
82,1,2
83,2,3
84,3,4
85,1,3
86,2,3
87,3,4
88,1,5
89,2,2
90,3,4
91,1,4
92,2,2
93,3,4
94,1,4
95,2,4
96,3,1
97,1,2
98,2,2
99,3,2
100,1,4
101,2,5
102,3,3
103,1,2
104,2,1
105,3,3
106,1,4
107,2,2
108,3,1
109,1,4
110,2,2
111,3,4
112,1,2
113,2,4
114,3,3
115,1,2
116,2,3
117,3,4
118,1,5
119,2,2
120,3,3
121,1,4
122,2,5
123,3,4
124,1,3
125,2,4
126,3,4
127,1,3
128,2,4
129,3,3
130,1,3
131,2,2
132,3,3
133,1,2
134,2,3
135,3,4
136,1,3
137,2,2
138,3,2
139,1,3
140,2,4
141,3,3
142,1,2
143,2,1
144,3,2
145,1,3
146,2,3
147,3,4
148,1,3
149,2,2
150,3,1
