date,power,latitude,longitude,place
2012-06-24 1:20,2.1,37.53 N,124.56 E,인천 백령도 남남서쪽 48km 해역
2012-06-23 16:42,2.6,36.7 N,128.31 E,경북 문경시 북동쪽 17km 지역
2012-06-19 20:55,3.1,33.48 N,125.93 E,제주 제주시 고산 북서쪽 30km 해역
2012-06-14 6:15,2.1,39.68 N,126.81 E,함경남도 요덕 북서쪽 5km지역
2012-06-12 17:52,2.2,35.87 N,128.67 E,대구 수성구 동북동쪽 4km 지역
2012-06-12 13:34,2.4,37.33 N,125.27 E,인천 옹진군 연평도 남서쪽 53km 해역
2012-06-12 9:01,2.1,38.77 N,125.72 E,황해북도 송림 동북동쪽 8km 지역
2012-06-12 3:42,2.1,36.32 N,127.51 E,충북 옥천군 서북서쪽 6km 지역
2012-06-05 8:18,2.1,38.43 N,126.16 E,황해북도 평산 서북서쪽 23km 지역
2012-06-01 12:05,2.6,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-06-01 8:09,2.3,35.92 N,127.61 E,전북 무주군 남남서쪽 10km 지역
2012-05-30 2:48,3.4,36.57 N,129.57 E,경북 영덕군 북동쪽 25km 해역
2012-05-16 17:50,2.7,36.23 N,128.49 E,경북 군위군 서쪽 8km 지역
2012-05-15 11:05,2.9,35.92 N,129.62 E,경북 포항시 남구 동남동쪽 25km 해역
2012-05-11 12:46,3.9,36.02 N,127.71 E,전북 무주군 동북동쪽 5km 지역
2012-05-02 5:04,2,35.76 N,126.81 E,전북 김제시 남서쪽 8km 지역
2012-05-02 1:33,3.4,33.69 N,126.04 E,제주 제주시 고산 북북서쪽 46km 해역
2012-04-20 21:11,3.1,33.43 N,127.26 E,제주 서귀포시 성산 동쪽 36km 해역
2012-04-17 13:31,2.6,35.72 N,126.51 E,전북 부안군 서쪽 20km 해역
2012-03-30 14:51,2.2,36.49 N,127.91 E,경북 상주시 서북서쪽 24km 지역
2012-03-29 0:26,2.2,35.34 N,125.95 E,전북 부안군 위도 남서쪽 43km 해역
2012-03-18 9:20,2.8,36.53 N,130.58 E,경북 영덕군 동쪽 109km 해역
2012-02-27 0:26,2.5,35.15 N,129.85 E,울산 동구 남동쪽 55km 해역
2012-02-24 9:05,3.2,35.2 N,129.93 E,울산 동구 남동쪽 57km 해역
2012-02-24 0:54,2.4,35.13 N,129.85 E,울산 동구 남동쪽 57km 해역
2012-02-21 22:30,2.5,35.13 N,129.8 E,부산 기장군 동남동쪽 54km 해역
2012-02-19 20:21,2.7,35.13 N,129.89 E,울산 동구 남동쪽 59km 해역
2012-01-24 2:41,2.2,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-01-19 15:43,2.7,38.51 N,126.23 E,북한 황해북도 평산 북서쪽 24km 지역
2011-12-27 21:57,3.3,36.86 N,129.94 E,경북 울진군 동남동쪽 50km 해역
2011-12-25 0:01,2.3,37.12 N,128.99 E,강원 태백시 남쪽 5km 지역
2011-12-14 15:39,2,37.97 N,125.82 E,황해남도 해주 남동쪽 12km 지역
2011-11-30 0:37,2.5,35.98 N,126.53 E,전북 군산시 서쪽 17km 해역
