KRX100	　
종목명		종목코드
CJ		001040
CJ오쇼핑	035760
CJ인터넷	037150
CJ제일제당	097950
GS		078930
GS건설		006360
KB금융		105560
KCC		002380
KT		030200
KT&G		033780
LG		003550
LG디스플레이	034220
LG생활건강	051900
LG이노텍	011070
LG전자		066570
LG텔레콤	032640
LG패션		093050
LG화학		051910
LIG손해보험	002550
LS		006260
LS산전		010120
NHN		035420
OCI		010060
POSCO		005490
S-Oil		010950
SK		003600
SK네트웍스	001740
SK에너지	096770
SK텔레콤	017670
강원랜드	035250
고려아연	010130
글로비스	086280
기아차		000270
기업은행	024110
농심		004370
다음		035720
대구은행	005270
대림산업	000210
대신증권	003540
대우건설	047040
대우인터내셔널	047050
대우조선해양	042660
대우증권	006800
대한통운	000120
대한해운	005880
동국제강	001230
동부화재	005830
두산중공업	034020
롯데쇼핑	023530
메가스터디	072870
미래에셋증권	037620
부산은행	005280
삼성물산	000830
삼성엔지니어링	028050
삼성전기	009150
삼성전자	005930
삼성중공업	010140
삼성증권	016360
삼성테크윈	012450
삼성화재	000810
서울반도체	046890
소디프신소재	036490
신세계		004170
신한지주	055550
아모레퍼시픽	090430
에스원		012750
엔씨소프트	036570
오리온		001800
외환은행	004940
우리금융	053000
우리투자증권	005940
웅진코웨이	021240
유한양행	000100
제일기획	030000
제일모직	001300
태웅		044490
하나금융지주	086790
하나투어	039130
한국가스공사	036460
한국금융지주	071050
한국전력	015760
한국타이어	000240
한라공조	018880
한미약품	008930
한솔제지	004150
한화		000880
한화케미칼	009830
현대건설	000720
현대모비스	012330
현대미포조선	010620
현대백화점	069960
현대산업	012630
현대상선	011200
현대제철	004020
현대중공업	009540
현대증권	003450
현대차		005380
현대해상	001450
호남석유	011170
효성		004800
