ID, Age, Experience, Income, Family, CCAvg, Mortgage, Response
5000, 28, 4, 83, 3, 0.8, 0, No
4999, 65, 40, 49, 3, 0.5, 0, No
4998, 63, 39, 24, 2, 0.3, 0, No
4997, 30, 4, 15, 4, 0.4, 85, No
4996, 29, 3, 40, 1, 1.9, 0, No
4995, 64, 40, 75, 3, 2.0, 0, No
4994, 45, 21, 218, 2, 6.7, 0, No
4993, 30, 5, 13, 4, 0.5, 0, No
4992, 51, 25, 92, 1, 1.9, 100, No
4991, 55, 25, 58, 4, 2.0, 219, No
4990, 24, 0, 38, 1, 1.0, 0, No
4989, 34, 8, 85, 1, 2.5, 136, No
4988, 48, 23, 43, 3, 1.7, 159, No
4987, 32, 6, 78, 1, 2.9, 0, No
4986, 48, 23, 30, 3, 1.7, 162, No
4985, 27, 1, 98, 4, 2.3, 0, No
4984, 51, 26, 72, 1, 2.9, 0, No
4983, 36, 10, 45, 4, 0.2, 0, No
4982, 34, 9, 195, 2, 3.0, 122, No
4981, 29, 5, 135, 3, 5.3, 0, Yes
4980, 50, 26, 92, 1, 2.6, 213, No
4979, 57, 27, 63, 4, 2.0, 0, No
4978, 40, 15, 54, 3, 0.8, 0, No
4977, 29, 5, 31, 1, 1.8, 0, No
4976, 38, 11, 29, 4, 1.0, 0, No
4975, 59, 33, 64, 4, 1.7, 0, No
4974, 31, 1, 68, 4, 4.0, 0, No
4973, 58, 32, 41, 3, 2.2, 148, No
4972, 58, 28, 73, 1, 1.4, 0, No
4971, 37, 13, 95, 2, 1.7, 0, No
4970, 45, 19, 60, 2, 0.4, 250, No
4969, 58, 32, 41, 4, 2.5, 0, No
4968, 41, 16, 69, 1, 0.1, 0, No
4967, 41, 17, 34, 1, 0.7, 143, No
4966, 29, 5, 33, 1, 1.8, 78, No
4965, 53, 27, 110, 1, 4.9, 0, No
4964, 32, 6, 98, 2, 4.5, 306, No
4963, 46, 20, 122, 3, 3.0, 0, Yes
4962, 39, 14, 108, 3, 1.2, 0, No
4961, 58, 28, 81, 1, 3.0, 0, No
4960, 51, 27, 55, 1, 1.6, 197, No
4959, 50, 26, 19, 1, 0.9, 0, No
4958, 29, -1, 50, 2, 1.8, 0, No
4957, 39, 13, 59, 4, 0.2, 0, No
4956, 63, 37, 39, 2, 0.7, 0, No
4955, 45, 19, 22, 3, 1.5, 0, No
4954, 47, 21, 32, 3, 1.5, 75, No
4953, 29, 3, 53, 4, 1.8, 0, No
4952, 53, 27, 65, 1, 2.2, 0, No
4951, 47, 23, 19, 1, 1.0, 0, No
4950, 29, 5, 64, 4, 0.0, 249, No
4949, 44, 20, 43, 1, 0.7, 0, No
4948, 39, 13, 41, 2, 0.3, 108, No
4947, 51, 26, 42, 1, 1.3, 0, No
4946, 42, 18, 49, 2, 1.7, 106, No
4945, 49, 24, 33, 3, 1.7, 0, No
