지역,총인구수,남자인구수,여자인구수,LAT,LON
서울특별시  ,10137313,5002036,5135277,37.541,126.986
부산광역시  ,3523386,1743807,1779579,35.183759,129.075469
대구광역시  ,2499880,1244520,1255360,35.871449,128.601424
인천광역시  ,2889258,1453139,1436119,37.456223,126.705173
광주광역시  ,1471850,729480,742370,35.160077,126.851467
대전광역시  ,1535367,768425,766942,36.350416,127.384515
울산광역시  ,1159234,596923,562311,35.538735,129.31138
세종특별자치시  ,128200,65181,63019,36.592479,127.292133
경기도  ,12276751,6180303,6096448,37.274614,127.009509
강원도  ,1541556,776338,765218,37.886296,127.730099
충청북도  ,1574548,793961,780587,36.635577,127.49137
충청남도  ,2053837,1041279,1012558,36.326762,127.420839
전라북도  ,1871174,931638,939536,35.821001,127.11138
전라남도  ,1907343,952724,954619,34.816206,126.462924
경상북도  ,2697438,1355071,1342367,35.892504,128.6006
경상남도  ,3336980,1680180,1656800,35.238294,128.692377
제주특별자치도  ,598015,299643,298372,33.489013,126.49834
