지역명,LAT,LON,총인구수,남자인구수,여자인구수,세대수
서울특별시  ,37.5651,126.98955,"10,078,850","4,962,774","5,116,076","4,197,478"
부산광역시  ,35.162766,129.044678,"3,517,491","1,737,975","1,779,516","1,430,441"
대구광역시  ,35.87975,128.5667,"2,491,137","1,239,275","1,251,862","977,714"
인천광역시  ,37.456223,126.705173,"2,914,271","1,464,320","1,449,951","1,145,232"
광주광역시  ,35.160077,126.851467,"1,476,974","731,808","745,166","577,941"
대전광역시  ,36.3731,127.3888,"1,525,656","763,262","762,394","595,216"
울산광역시  ,35.538735,129.31138,"1,169,768","602,945","566,823","447,229"
경기도  ,37.421845,127.529308,"12,432,063","6,256,986","6,175,077","4,829,521"
강원도  ,37.8665202,128.2039048,"1,547,166","780,487","766,679","680,373"
충청북도  ,36.6374037,127.49137,"1,582,181","797,908","784,273","664,186"
충청남도  ,36.5212735,126.7988864,"2,068,444","1,049,546","1,018,898","878,544"
전라북도  ,35.821001,127.11138,"1,869,668","930,224","939,444","778,350"
전라남도  ,34.816206,126.462924,"1,902,638","950,693","951,945","827,264"
경상북도  ,36.3565811,128.6892794,"2,697,791","1,354,618","1,343,173","1,160,150"
경상남도  ,35.2210614,128.3910462,"3,356,540","1,690,798","1,665,742","1,356,430"
제주특별자치도  ,33.489013,126.49834,"615,250","308,627","306,623","251,478"
