Year, Food, Leisure, Appliances
2011-01-01,2134,567,26913
2011-02-01,1863,516,23848
2011-03-01,1877,387,27181
2011-04-01,1877,537,24990
2011-05-01,1492,555,26056
2011-06-01,1249,513,24614
2011-07-01,1280,537,24727
2011-08-01,1131,882,24151
2011-09-01,1209,591,23425
2011-10-01,1492,516,23477
2011-11-01,1621,582,21922
2011-12-01,1846,489,22120
2012-01-01,2103,528,21689
2012-02-01,2137,489,21339
2012-03-01,2153,534,23959
2012-04-01,1833,510,21919
2012-05-01,1403,726,22002
2012-06-01,1288,492,21011
2012-07-01,1186,546,23729
2012-08-01,1133,555,24074
2012-09-01,1053,435,23355
2012-10-01,1347,516,23360
2012-11-01,1545,594,22009
2012-12-01,2066,564,22323
2013-01-01,2020,330,22187
2013-02-01,2750,564,20285
2013-03-01,2283,645,23840
2013-04-01,1479,552,21922
2013-05-01,1189,591,22472
2013-06-01,1160,540,22373
2013-07-01,1113,486,24200
2013-08-01,970,534,23754
2013-09-01,999,588,22488
2013-10-01,1208,618,23392
2013-11-01,1467,630,21309
2013-12-01,2059,220,21823
2014-01-01,2240,600,21798
2014-02-01,1634,630,20250
2014-03-01,1722,591,22674
2014-04-01,1801,597,20865
2014-05-01,1246,618,22011
