Date,Open,High,Low,Close,Volume
14-Apr-17,1613000,1615000,1597000,1600000,7476
13-Apr-17,1597000,1618000,1596000,1616000,13796
12-Apr-17,1598000,1609000,1589000,1599000,29050
11-Apr-17,1612000,1615000,1595000,1595000,18997
10-Apr-17,1610000,1620000,1600000,1612000,19570
07-Apr-17,1614000,1615000,1592000,1607000,27891
06-Apr-17,1619000,1623000,1603000,1615000,38634
05-Apr-17,1624000,1640000,1620000,1640000,29668
04-Apr-17,1612000,1628000,1612000,1628000,49396
03-Apr-17,1605000,1615000,1598000,1610000,24486
31-Mar-17,1633000,1633000,1602000,1603000,28366
30-Mar-17,1623000,1637000,1614000,1624000,30006
29-Mar-17,1600000,1620000,1600000,1618000,32890
28-Mar-17,1599000,1607000,1584000,1590000,36361
27-Mar-17,1570000,1602000,1570000,1580000,28917
24-Mar-17,1617000,1625000,1587000,1592000,33464
23-Mar-17,1648000,1649000,1612000,1618000,33099
22-Mar-17,1608000,1648000,1608000,1647000,27209
21-Mar-17,1631000,1650000,1621000,1640000,28577
20-Mar-17,1617000,1640000,1617000,1617000,28233
17-Mar-17,1623000,1650000,1619000,1649000,40129
16-Mar-17,1634000,1650000,1625000,1630000,33162
15-Mar-17,1597000,1615000,1590000,1615000,24034
14-Mar-17,1580000,1614000,1575000,1613000,59371
13-Mar-17,1556000,1582000,1547000,1578000,29943
10-Mar-17,1526000,1550000,1526000,1550000,34722
09-Mar-17,1555000,1558000,1540000,1540000,42313
08-Mar-17,1550000,1574000,1550000,1553000,27373
07-Mar-17,1559000,1566000,1548000,1557000,26519
06-Mar-17,1530000,1560000,1521000,1560000,34173
03-Mar-17,1539000,1557000,1528000,1545000,35467
02-Mar-17,1496000,1567000,1493000,1567000,39439
28-Feb-17,1492000,1524000,1491000,1496000,45087
27-Feb-17,1498000,1507000,1482000,1489000,17363
24-Feb-17,1547000,1548000,1498000,1498000,28513
23-Feb-17,1542000,1559000,1536000,1555000,29641
22-Feb-17,1549000,1560000,1546000,1559000,18157
21-Feb-17,1542000,1562000,1529000,1548000,36072
20-Feb-17,1530000,1544000,1521000,1537000,18827
17-Feb-17,1500000,1517000,1489000,1507000,36561
16-Feb-17,1510000,1528000,1510000,1523000,30553
15-Feb-17,1509000,1522000,1491000,1514000,41750
14-Feb-17,1524000,1535000,1509000,1519000,39604
13-Feb-17,1530000,1534000,1510000,1523000,22417
10-Feb-17,1550000,1560000,1537000,1537000,25390
09-Feb-17,1551000,1564000,1536000,1556000,26002
08-Feb-17,1558000,1558000,1526000,1549000,30711
07-Feb-17,1577000,1577000,1550000,1560000,27949
06-Feb-17,1573000,1577000,1544000,1577000,24909
03-Feb-17,1575000,1579000,1560000,1566000,37697
02-Feb-17,1570000,1589000,1566000,1574000,34814
01-Feb-17,1571000,1586000,1561000,1565000,37179
31-Jan-17,1613000,1614000,1571000,1571000,55668
26-Jan-17,1584000,1618000,1582000,1615000,47520
25-Jan-17,1532000,1582000,1531000,1582000,55211
24-Jan-17,1517000,1533000,1513000,1522000,38675
23-Jan-17,1470000,1515000,1466000,1508000,19416
20-Jan-17,1485000,1491000,1467000,1471000,13167
19-Jan-17,1498000,1509000,1472000,1484000,32055
18-Jan-17,1476000,1493000,1459000,1473000,20348
17-Jan-17,1460000,1488000,1452000,1476000,18592
16-Jan-17,1471000,1493000,1440000,1466000,34161
13-Jan-17,1503000,1520000,1478000,1486000,42938
12-Jan-17,1518000,1540000,1518000,1537000,32554
