V1,V2
2010-01-01-0823,10003333
2010-01-01-0823,10007892
2010-01-01-0823,10000005
2010-01-01-0823,10040312
2010-01-01-0823,10001519
2010-01-01-0823,10003364
2010-01-01-0823,10003373
2010-01-01-0823,10003374
2010-01-02-0822,10003333
2010-01-02-0822,10007892
2010-01-02-0822,10000404
2010-01-02-0822,10003333
2010-01-02-0822,10001519
2010-01-02-0822,10003364
2010-01-02-0822,10003373
2010-01-02-0822,10003374
2010-01-03-0822,10002195
2010-01-03-0822,10007892
2010-01-03-0822,10000005
2010-01-03-0823,10002195
2010-01-03-0823,10001519
2010-01-03-0823,10003364
2010-01-03-0823,10003373
2010-01-03-0823,10003374
2010-01-04-0822,10003332
2010-01-04-0822,10001519
2010-01-04-0822,10003364
2010-01-04-0822,10093119
2010-01-04-0822,10003375
2010-01-05-0821,10003332
2010-01-05-0821,10003353
2010-01-05-0821,10003162
2010-01-05-0822,10003332
2010-01-05-0822,10001519
2010-01-05-0822,10003364
2010-01-05-0822,10003373
2010-01-05-0822,10003374
2010-01-06-0822,10003332
2010-01-06-0822,10001519
2010-01-06-0822,10003364
2010-01-06-0822,10093119
2010-01-06-0822,10003375
2010-01-07-0821,10003332
2010-01-07-0821,10004365
2010-01-07-0821,10004366
2010-01-07-0821,10003332
2010-01-07-0821,10001519
2010-01-07-0821,10003364
2010-01-07-0821,10003373
2010-01-07-0821,10003374
2010-01-08-0818,10003332
2010-01-08-0818,10186585
2010-01-08-0818,10003162
2010-01-08-0818,10003332
2010-01-08-0818,10001519
2010-01-08-0818,10003364
2010-01-08-0818,10003373
2010-01-08-0818,10003374
2010-01-09-0818,10186585
2010-01-09-0818,10003344
2010-01-09-0818,10186585
2010-01-09-0818,10003332
2010-01-09-0818,10001519
2010-01-09-0818,10003364
2010-01-09-0818,10003373
2010-01-09-0818,10003374
2010-01-10-0819,10002195
2010-01-10-0819,10001519
2010-01-10-0819,10003364
2010-01-10-0819,10093119
2010-01-10-0819,10003375
2010-01-11-0818,10003332
2010-01-11-0818,10007892
2010-01-11-0818,10003336
2010-01-11-0819,10003332
2010-01-11-0819,10001519
2010-01-11-0819,10003364
2010-01-11-0819,10003373
2010-01-11-0819,10003374
2010-01-12-0821,10003332
2010-01-12-0821,10003353
2010-01-12-0821,10001519
2010-01-12-0821,10003332
2010-01-12-0821,10001519
2010-01-12-0821,10003364
2010-01-12-0821,10093119
2010-01-12-0821,10003375
2010-01-13-0819,10004365
2010-01-13-0819,10004366
2010-01-13-0819,10001519
2010-01-13-0819,10003332
2010-01-13-0819,10001519
2010-01-13-0819,10003364
2010-01-13-0819,10093119
2010-01-13-0819,10003375
2010-01-14-0820,10003332
2010-01-14-0820,10007892
2010-01-14-0820,10004366
2010-01-14-0821,10003332
2010-01-14-0821,10001519
2010-01-14-0821,10003364
2010-01-14-0821,10003373
2010-01-14-0821,10003374
2010-01-15-0817,10003332
2010-01-15-0817,10007892
2010-01-15-0817,10003344
2010-01-15-0818,10003332
2010-01-15-0818,10001519
2010-01-15-0818,10003364
2010-01-15-0818,10093119
2010-01-15-0818,10003375
2010-01-16-0821,10003332
2010-01-16-0821,10007892
2010-01-16-0821,10000005
2010-01-16-0822,10003332
2010-01-16-0822,10001519
2010-01-16-0822,10003364
2010-01-16-0822,10093119
2010-01-16-0822,10003375
2010-01-17-0819,10007892
2010-01-17-0819,10003344
2010-01-17-0819,10007892
2010-01-17-0819,10003332
2010-01-17-0819,10001519
2010-01-17-0819,10003364
2010-01-17-0819,10093119
2010-01-17-0819,10003375
2010-01-18-0818,10003332
2010-01-18-0818,10007892
2010-01-18-0818,10000005
2010-01-18-0819,10003332
2010-01-18-0819,10001519
2010-01-18-0819,10003364
2010-01-18-0819,10093119
2010-01-18-0819,10003375
2010-01-19-0817,10007892
2010-01-19-0817,10000005
2010-01-19-0817,10007892
2010-01-19-0817,10003332
2010-01-19-0817,10001519
2010-01-19-0817,10003364
2010-01-19-0817,10003373
2010-01-19-0817,10003374
2010-01-20-0819,10003332
2010-01-20-0819,10001519
2010-01-20-0819,10003364
2010-01-20-0819,10003373
2010-01-20-0819,10003374
2010-01-21-0816,10186585
2010-01-21-0816,10000012
2010-01-21-0817,10186585
2010-01-21-0817,10003332
2010-01-21-0817,10001519
2010-01-21-0817,10003364
2010-01-21-0817,10093119
2010-01-21-0817,10003375
2010-01-22-0819,10003332
2010-01-22-0819,10001209
2010-01-22-0819,10000012
2010-01-22-0819,10003332
2010-01-22-0819,10001519
2010-01-22-0819,10003364
2010-01-22-0819,10003373
2010-01-22-0819,10003374
2010-01-23-0816,10003332
2010-01-23-0816,10001519
2010-01-23-0816,10003364
2010-01-23-0816,10003373
2010-01-23-0816,10003374
2010-01-24-0819,10003332
2010-01-24-0819,10001519
2010-01-24-0819,10003364
2010-01-24-0819,10003373
2010-01-24-0819,10003374
2010-01-25-0816,10003332
2010-01-25-0816,10001519
2010-01-25-0816,10003364
2010-01-25-0816,10093119
2010-01-25-0816,10003375
2010-01-26-0818,10003332
2010-01-26-0818,10001519
2010-01-26-0818,10003364
2010-01-26-0818,10093119
2010-01-26-0818,10003375
2010-01-27-0820,10004365
2010-01-27-0820,10001209
2010-01-27-0820,10186585
2010-01-27-0820,10003332
2010-01-27-0820,10001519
2010-01-27-0820,10003364
2010-01-27-0820,10003373
2010-01-27-0820,10003374
2010-01-28-0822,10003332
2010-01-28-0822,10001519
2010-01-28-0822,10003364
2010-01-28-0822,10003373
2010-01-28-0822,10003374
2010-01-29-0819,10003332
2010-01-29-0819,10001519
2010-01-29-0819,10003364
2010-01-29-0819,10003373
2010-01-29-0819,10003374
2010-01-30-0819,10003332
2010-01-30-0819,10001519
2010-01-30-0819,10003364
2010-01-30-0819,10093119
2010-01-30-0819,10003375
2010-01-31-0818,10003332
2010-01-31-0818,10001519
2010-01-31-0818,10003364
2010-01-31-0818,10093119
2010-01-31-0818,10003375
2010-02-01-0822,10003333
2010-02-01-0822,10001519
2010-02-01-0822,10003364
2010-02-01-0822,10093119
2010-02-01-0822,10003375
2010-02-02-0819,10003332
2010-02-02-0819,10001519
2010-02-02-0819,10003364
2010-02-02-0819,10003373
2010-02-02-0819,10003374
2010-02-03-0818,10153947
2010-02-03-0818,10001519
2010-02-03-0818,10003364
2010-02-03-0818,10093119
2010-02-03-0818,10003375
2010-02-04-0820,10004365
2010-02-04-0820,10004366
2010-02-04-0820,10004365
2010-02-04-0820,10153947
2010-02-04-0820,10001519
2010-02-04-0820,10003364
2010-02-04-0820,10093119
2010-02-04-0820,10003375
2010-02-05-0820,10004365
2010-02-05-0820,10000005
2010-02-05-0820,10004365
2010-02-05-0820,10003332
2010-02-05-0820,10001519
2010-02-05-0820,10003364
2010-02-05-0820,10093119
2010-02-05-0820,10003375
2010-02-06-0819,10003332
2010-02-06-0819,10001519
2010-02-06-0819,10003364
2010-02-06-0819,10003373
2010-02-06-0819,10003374
2010-02-09-0820,10003332
2010-02-09-0820,10001519
2010-02-09-0820,10003364
2010-02-09-0820,10003373
2010-02-09-0820,10003374
2010-02-10-0821,10004365
2010-02-10-0821,10003162
2010-02-10-0821,10004365
2010-02-10-0821,10040312
2010-02-10-0821,10001519
2010-02-10-0821,10003364
2010-02-10-0821,10003373
2010-02-10-0821,10003374
2010-02-11-0823,10002195
2010-02-11-0823,10001519
2010-02-11-0823,10003364
2010-02-11-0823,10093119
2010-02-11-0823,10003375
2010-02-12-0820,10002195
2010-02-12-0820,10001519
2010-02-12-0820,10003364
2010-02-12-0820,10003373
2010-02-12-0820,10003374
2010-02-13-0819,10003349
2010-02-13-0819,10001519
2010-02-13-0819,10003364
2010-02-13-0819,10003373
2010-02-13-0819,10003374
2010-02-14-0818,10178187
2010-02-14-0818,10001519
2010-02-14-0818,10003364
2010-02-14-0818,10093119
2010-02-14-0818,10003375
2010-02-15-0822,10002195
2010-02-15-0822,10001519
2010-02-15-0822,10003364
2010-02-15-0822,10003373
2010-02-15-0822,10003374
2010-02-16-1316,10004364
2010-02-16-1316,10177250
2010-02-16-1316,10004364
2010-02-16-1316,10003346
2010-02-16-1316,10178187
2010-02-16-1316,10001519
2010-02-16-1316,10003364
2010-02-16-1316,10093119
2010-02-16-1316,10003375
2010-02-17-0822,10003349
2010-02-17-0822,10001519
2010-02-17-0822,10003364
2010-02-17-0822,10093119
2010-02-17-0822,10003375
2010-02-18-0818,10040312
2010-02-18-0818,10001519
2010-02-18-0818,10003364
2010-02-18-0818,10003373
2010-02-18-0818,10003374
2010-02-19-0823,10040312
2010-02-19-0823,10001519
2010-02-19-0823,10003364
2010-02-19-0823,10003373
2010-02-19-0823,10003374
2010-02-20-0821,10003349
2010-02-20-0821,10001519
2010-02-20-0821,10003364
2010-02-20-0821,10093119
2010-02-20-0821,10003375
2010-02-21-0820,10003349
2010-02-21-0821,10001519
2010-02-21-0821,10003162
2010-02-21-0821,10003349
2010-02-21-0821,10001519
2010-02-21-0821,10003364
2010-02-21-0821,10093119
2010-02-21-0821,10003375
2010-02-22-0820,10002195
2010-02-22-0820,10000012
