from,to,line
소요산,동두천,1
동두천,보산,1
보산,동두천중앙,1
동두천중앙,지행,1
지행,덕정,1
덕정,덕계,1
덕계,양주,1
양주,녹양,1
녹양,가능,1
가능,의정부,1
의정부,회룡,1
회룡,망월사,1
망월사,도봉산,1
도봉산,도봉,1
도봉,방학,1
방학,창동,1
창동,녹천,1
녹천,월계,1
월계,광운대역,1
광운대역,석계,1
석계,신이문,1
신이문,외대앞,1
외대앞,회기,1
회기,청량리,1
청량리,제기동,1
제기동,신설동,1
신설동,동묘앞,1
동묘앞,동대문,1
동대문,종로5가,1
종로5가,종로3가,1
종로3가,종각,1
종각,시청,1
시청,서울역,1
서울역,남영,1
남영,용산,1
용산,노량진,1
노량진,대방,1
대방,신길,1
신길,영등포,1
영등포,신도림,1
신도림,구로,1
구로,구일,1
구일,개봉,1
개봉,오류동,1
오류동,온수,1
온수,역곡,1
역곡,소사,1
소사,부천,1
부천,중동,1
중동,송내,1
송내,부개,1
부개,부평,1
부평,백운,1
백운,동암,1
동암,간석,1
간석,주안,1
주안,도화,1
도화,제물포,1
제물포,도원,1
도원,동인천,1
동인천,인천,1
구로,가산디지털단지,1
가산디지털단지,독산,1
독산,금천구청,1
금천구청,석수,1
석수,관악,1
관악,안양,1
안양,명학,1
명학,금정,1
금정,군포,1
군포,당정,1
당정,의왕,1
의왕,성균관대,1
성균관대,화서,1
화서,수원,1
수원,세류,1
세류,병점,1
병점,세마,1
세마,오산대,1
오산대,오산,1
오산,진위,1
진위,송탄,1
송탄,서정리,1
서정리,지제,1
지제,평택,1
평택,성환,1
성환,직산,1
직산,두정,1
두정,천안,1
천안,봉명,1
봉명,쌍용,1
쌍용,아산,1
아산,배방,1
배방,온양온천,1
온양온천,신창,1
금천구청,광명,1
병점,서동탄,1
시청,을지로입구,2
을지로입구,을지로3가,2
을지로3가,을지로4가,2
을지로4가,동대문역사문화공원,2
동대문역사문화공원,신당,2
신당,상왕십리,2
상왕십리,왕십리,2
왕십리,한양대,2
한양대,뚝섬,2
뚝섬,성수,2
성수,건대입구,2
건대입구,구의,2
구의,강변,2
강변,잠실나루,2
잠실나루,잠실,2
잠실,잠실새내,2
잠실새내,종합운동장,2
종합운동장,삼성,2
삼성,선릉,2
선릉,역삼,2
역삼,강남,2
강남,교대,2
교대,서초,2
서초,방배,2
방배,사당,2
사당,낙성대,2
낙성대,서울대입구,2
서울대입구,봉천,2
봉천,신림,2
신림,신대방,2
신대방,구로디지털단지,2
구로디지털단지,대림,2
대림,신도림,2
신도림,문래,2
문래,영등포구청,2
영등포구청,당산,2
당산,합정,2
합정,홍대입구,2
홍대입구,신촌(지하),2
신촌(지하),이대,2
이대,아현,2
아현,충정로,2
충정로,시청,2
성수,용답,2
용답,신답,2
신답,용두,2
용두,신설동,2
신도림,도림천,2
도림천,양천구청,2
양천구청,신정네거리,2
신정네거리,까치산,2
대화,주엽,3
주엽,정발산,3
정발산,마두,3
마두,백석,3
백석,대곡,3
대곡,화정,3
화정,원당,3
원당,원흥,3
원흥,삼송,3
삼송,지축,3
지축,구파발,3
구파발,연신내,3
연신내,불광,3
불광,녹번,3
녹번,홍제,3
홍제,무악재,3
무악재,독립문,3
독립문,경복궁,3
경복궁,안국,3
안국,종로3가,3
종로3가,을지로3가,3
을지로3가,충무로,3
충무로,동대입구,3
동대입구,약수,3
약수,금호,3
금호,옥수,3
옥수,압구정,3
압구정,신사,3
신사,잠원,3
잠원,고속터미널,3
고속터미널,교대,3
교대,남부터미널,3
남부터미널,양재,3
양재,매봉,3
매봉,도곡,3
도곡,대치,3
대치,학여울,3
학여울,대청,3
대청,일원,3
일원,수서,3
수서,가락시장,3
가락시장,경찰병원,3
경찰병원,오금,3
당고개,상계,4
상계,노원,4
노원,창동,4
창동,쌍문,4
쌍문,수유,4
수유,미아,4
미아,미아사거리,4
미아사거리,길음,4
길음,성신여대입구,4
성신여대입구,한성대입구,4
한성대입구,혜화,4
혜화,동대문,4
동대문,동대문역사문화공원,4
동대문역사문화공원,충무로,4
충무로,명동,4
명동,회현,4
회현,서울역,4
서울역,숙대입구,4
숙대입구,삼각지,4
삼각지,신용산,4
신용산,이촌,4
이촌,동작,4
동작,총신대입구,4
총신대입구,사당,4
사당,남태령,4
남태령,선바위,4
선바위,경마공원,4
경마공원,대공원,4
대공원,과천,4
과천,정부과천청사,4
정부과천청사,인덕원,4
인덕원,평촌,4
평촌,범계,4
범계,금정,4
금정,산본,4
산본,수리산,4
수리산,대야미,4
대야미,반월,4
반월,상록수,4
상록수,한대앞,4
한대앞,중앙,4
중앙,고잔,4
고잔,초지,4
초지,안산,4
안산,신길온천,4
신길온천,정왕,4
정왕,오이도,4
방화,개화산,5
개화산,김포공항,5
김포공항,송정,5
송정,마곡,5
마곡,발산,5
발산,우장산,5
우장산,화곡,5
화곡,까치산,5
까치산,신정네거리,5
신정네거리,목동,5
목동,오목교,5
오목교,양평,5
양평,영등포구청,5
영등포구청,영등포시장,5
영등포시장,신길,5
신길,여의도,5
여의도,여의나루,5
여의나루,마포,5
마포,공덕,5
공덕,애오개,5
애오개,충정로,5
충정로,서대문,5
서대문,광화문,5
광화문,종로3가,5
종로3가,을지로4가,5
을지로4가,동대문역사문화공원,5
동대문역사문화공원,청구,5
청구,신금호,5
신금호,행당,5
행당,왕십리,5
왕십리,마장,5
마장,답십리,5
답십리,장한평,5
장한평,군자,5
군자,아차산,5
아차산,광나루,5
광나루,천호,5
천호,강동,5
강동,길동,5
길동,굽은다리,5
굽은다리,명일,5
명일,고덕,5
고덕,상일동,5
강동,둔촌동,5
둔촌동,올림픽공원,5
올림픽공원,방이,5
방이,오금,5
오금,개롱,5
개롱,거여,5
거여,마천,5
응암,역촌,6
역촌,불광,6
불광,독바위,6
독바위,연신내,6
연신내,구산,6
구산,응암,6
응암,새절,6
새절,증산,6
증산,디지털미디어시티,6
디지털미디어시티,월드컵경기장,6
월드컵경기장,마포구청,6
마포구청,망원,6
망원,합정,6
합정,상수,6
상수,광흥창,6
광흥창,대흥,6
대흥,공덕,6
공덕,효창공원앞,6
효창공원앞,삼각지,6
삼각지,녹사평,6
녹사평,이태원,6
이태원,한강진,6
한강진,버티고개,6
버티고개,약수,6
약수,청구,6
청구,신당,6
신당,동묘앞,6
동묘앞,창신,6
창신,보문,6
보문,안암,6
안암,고려대,6
고려대,월곡,6
월곡,상월곡,6
상월곡,돌곶이,6
돌곶이,석계,6
석계,태릉입구,6
태릉입구,화랑대,6
화랑대,봉화산,6
장암,도봉산,7
도봉산,수락산,7
수락산,마들,7
마들,노원,7
노원,중계,7
중계,하계,7
하계,공릉,7
공릉,태릉입구,7
태릉입구,먹골,7
먹골,중화,7
중화,상봉,7
상봉,면목,7
면목,사가정,7
사가정,용마산,7
용마산,중곡,7
중곡,군자,7
군자,어린이대공원,7
어린이대공원,건대입구,7
건대입구,뚝섬유원지,7
뚝섬유원지,청담,7
청담,강남구청,7
강남구청,학동,7
학동,논현,7
논현,반포,7
반포,고속터미널,7
고속터미널,내방,7
내방,총신대입구,7
총신대입구,남성,7
남성,숭실대입구,7
숭실대입구,상도,7
상도,장승배기,7
장승배기,신대방삼거리,7
신대방삼거리,보라매,7
보라매,신풍,7
신풍,대림,7
대림,남구로,7
남구로,가산디지털단지,7
가산디지털단지,철산,7
철산,광명사거리,7
광명사거리,천왕,7
천왕,온수,7
온수,까치울,7
까치울,부천종합운동장,7
부천종합운동장,춘의,7
춘의,신중동,7
신중동,부천시청,7
부천시청,상동,7
상동,삼산체육관,7
삼산체육관,굴포천,7
굴포천,부평구청,7
암사,천호,8
천호,강동구청,8
강동구청,몽천토성,8
몽천토성,잠실,8
잠실,석촌,8
석촌,송파,8
송파,가락시장,8
가락시장,문정,8
문정,장지,8
장지,복정,8
복정,산성,8
산성,남한산성입구,8
남한산성입구,단대오거리,8
단대오거리,신흥,8
신흥,수진,8
수진,모란,8
개화,김포공항,9
김포공항,공항시장,9
공항시장,신방화,9
신방화,마곡나루,9
마곡나루,양천향교,9
양천향교,가양,9
가양,중미,9
중미,등촌,9
등촌,염창,9
염창,신목동,9
신목동,선유도,9
선유도,당산,9
당산,국회의사당,9
국회의사당,여의도,9
여의도,샛강,9
샛강,노량진,9
노량진,노들,9
노들,흑석,9
흑석,동작,9
동작,구반포,9
구반포,신반포,9
신반포,고속터미널,9
고속터미널,사평,9
사평,신논현,9
신논현,언주,9
언주,선정릉,9
선정릉,삼성중앙,9
삼성중앙,봉은사,9
봉은사,종합운동장,9
종합운동장,삼전,9
삼전,석촌고분,9
석촌고분,석촌,9
석촌,송파나루,9
송파나루,한성백제,9
한성백제,올림픽공원,9
올림픽공원,둔촌오륜,9
둔촌오륜,중앙보훈병원,9
서울역,공덕,인천국제공항철도
공덕,홍대입구,인천국제공항철도
홍대입구,디지털미디어시티,인천국제공항철도
디지털미디어시티,마곡나루,인천국제공항철도
마곡나루,김포공항,인천국제공항철도
김포공항,계양,인천국제공항철도
계양,검암,인천국제공항철도
검암,청라국제도시,인천국제공항철도
청라국제도시,영종,인천국제공항철도
영종,운서,인천국제공항철도
운서,공항화물청사,인천국제공항철도
공항화물청사,인천공항1터미널,인천국제공항철도
인천공항1터미널,인천공항2터미널,인천국제공항철도
인천공항1터미널,용유차량기지,인천국제공항철도
인천공항2터미널,용유차량기지,인천국제공항철도
문산,파주,경의·중앙선
파주,월롱,경의·중앙선
월롱,금촌,경의·중앙선
금촌,금릉,경의·중앙선
금릉,운정,경의·중앙선
운정,야당,경의·중앙선
야당,탄현,경의·중앙선
탄현,일산,경의·중앙선
일산,풍산,경의·중앙선
풍산,백마,경의·중앙선
백마,곡산,경의·중앙선
곡산,대곡,경의·중앙선
대곡,능곡,경의·중앙선
능곡,행신,경의·중앙선
행신,강매,경의·중앙선
강매,화전,경의·중앙선
화전,수색,경의·중앙선
수색,디지털미디어시티,경의·중앙선
디지털미디어시티,가좌,경의·중앙선
가좌,홍대입구,경의·중앙선
홍대입구,서강대,경의·중앙선
서강대,공덕,경의·중앙선
공덕,효창공원앞,경의·중앙선
효창공원앞,용산,경의·중앙선
용산,이촌,경의·중앙선
이촌,서빙고,경의·중앙선
서빙고,한남,경의·중앙선
한남,옥수,경의·중앙선
옥수,응봉,경의·중앙선
응봉,왕십리,경의·중앙선
왕십리,청량리,경의·중앙선
청량리,회기,경의·중앙선
회기,중랑,경의·중앙선
