station,name,line,xwgs,ywgs
2729,건대입구,7,37.540693,127.07023
212,건대입구,2,37.540693,127.07023
213,구의,2,37.537077,127.085916
214,강변,2,37.535095,127.094681
215,잠실나루,2,37.520733,127.10379
2815,잠실,8,37.51395,127.102234
216,잠실,2,37.51395,127.102234
217,잠실새내,2,37.511687,127.086162
218,종합운동장,2,37.510997,127.073642
4130,종합운동장,9,37.510997,127.073642
219,삼성,2,37.508844,127.06316
1023,선릉,B,37.504503,127.049008
220,선릉,2,37.504503,127.049008
221,역삼,2,37.500622,127.036456
4307,강남,S,37.497175,127.027926
222,강남,2,37.497175,127.027926
224,서초,2,37.491897,127.007917
1727,두정,1,36.833705,127.14896
225,방배,2,37.481426,126.997596
240,신촌,2,37.555134,126.936893
241,이대,2,37.556733,126.946013
242,아현,2,37.557345,126.956141
2532,충정로,5,37.559973,126.963672
243,충정로,2,37.559973,126.963672
244,용답,2,37.561904,127.050899
245,신답,2,37.57004,127.046481
247,도림천,2,37.514287,126.882768
248,양천구청,2,37.512398,126.865819
249,신정네거리,2,37.520074,126.852912
1728,천안,1,36.810005,127.146826
1756,중앙,4,37.315941,126.838573
1763,수리산,4,37.349801,126.925365
1891,인천,SU,37.476691,126.616936
1812,인천,1,37.476691,126.616936
1859,오리,B,37.339824,127.108942
433,사당,4,37.47653,126.981685
226,사당,2,37.47653,126.981685
227,낙성대,2,37.47693,126.963693
228,서울대입구,2,37.481247,126.952739
229,봉천,2,37.482362,126.941892
230,신림,2,37.484201,126.929715
231,신대방,2,37.487462,126.913149
232,구로디지털단지,2,37.485266,126.901401
2746,대림,7,37.49297,126.895801
233,대림,2,37.49297,126.895801
234,신도림,2,37.508725,126.891295
1007,신도림,1,37.508725,126.891295
235,문래,2,37.517933,126.89476
2524,영등포구청,5,37.52497,126.895951
236,영등포구청,2,37.52497,126.895951
4113,당산,9,37.53438,126.902281
237,당산,2,37.53438,126.902281
238,합정,2,37.549463,126.913739
2623,합정,6,37.549463,126.913739
1264,홍대입구,K,37.557192,126.925381
1293,홍대입구,A,37.557192,126.925381
239,홍대입구,2,37.557192,126.925381
1291,서울,A,37.554648,126.972559
150,서울,1,37.554648,126.972559
426,서울,4,37.554648,126.972559
201,시청,2,37.564718,126.977108
151,시청,1,37.564718,126.977108
152,종각,1,37.570161,126.982923
2535,종로3가,5,37.571607,126.991806
319,종로3가,3,37.571607,126.991806
153,종로3가,1,37.571607,126.991806
154,종로5가,1,37.570926,127.001849
155,동대문,1,37.57142,127.009745
421,동대문,4,37.57142,127.009745
246,신설동,2,37.575297,127.025087
156,신설동,1,37.575297,127.025087
157,제기동,1,37.578103,127.034893
1014,청량리,K,37.580178,127.046835
1305,청량리,G,37.580178,127.046835
158,청량리,1,37.580178,127.046835
2637,동묘앞,6,37.572627,127.016429
159,동묘앞,1,37.572627,127.016429
202,을지로입구,2,37.566014,126.982618
2536,을지로4가,5,37.566941,126.998079
204,을지로4가,2,37.566941,126.998079
2537,동대문역사문화공원,5,37.565138,127.007896
205,동대문역사문화공원,2,37.565138,127.007896
422,동대문역사문화공원,4,37.565138,127.007896
206,신당,2,37.565972,127.01782
2636,신당,6,37.565972,127.01782
207,상왕십리,2,37.564354,127.029354
208,왕십리,2,37.561533,127.037732
1845,왕십리,B,37.561533,127.037732
2541,왕십리,5,37.561533,127.037732
1013,왕십리,K,37.561533,127.037732
209,한양대,2,37.555273,127.043655
210,뚝섬,2,37.547184,127.047367
211,성수,2,37.544581,127.055961
419,한성대입구,4,37.588458,127.006221
420,혜화,4,37.582336,127.001844
424,명동,4,37.560989,126.986325
425,회현,4,37.558514,126.978246
427,숙대입구,4,37.54456,126.972106
2629,삼각지,6,37.534777,126.97311
428,삼각지,4,37.534777,126.97311
429,신용산,4,37.52917,126.967894
1008,이촌,K,37.522272,126.974345
430,이촌,4,37.522272,126.974345
4120,동작,9,37.502971,126.979306
431,동작,4,37.502971,126.979306
2738,총신대입구(이수),7,37.486263,126.981989
432,총신대입구(이수),4,37.486263,126.981989
1002,남영,1,37.541021,126.9713
1290,용산,K,37.529849,126.964561
1003,용산,1,37.529849,126.964561
1005,대방,1,37.513342,126.926382
1006,영등포,1,37.515504,126.907628
1009,서빙고,K,37.519594,126.988537
1010,한남,K,37.52943,127.009169
1012,응봉,K,37.549946,127.034538
1306,회기,G,37.58946,127.057583
1015,회기,1,37.58946,127.057583
1200,회기,K,37.58946,127.057583
1016,외대앞,1,37.596073,127.063549
1848,압구정로데오,B,37.527381,127.040534
1851,가천대,B,37.448605,127.126697
1852,태평,B,37.440019,127.127709
1853,모란,B,37.43213,127.129087
2827,모란,8,37.43213,127.129087
1854,야탑,B,37.411185,127.128715
1855,서현,B,37.385126,127.123592
1856,수내,B,37.378455,127.114322
4312,정자,S,37.36706,127.108105
1857,정자,B,37.36706,127.108105
1858,미금,B,37.350077,127.10891
1502,이매,KK,37.396104,127.12827
1860,이매,B,37.396104,127.12827
1861,보정,B,37.312752,127.108196
1862,죽전,B,37.324753,127.107395
1864,신갈,B,37.286102,127.111313
4501,기흥,E,37.275619,127.115936
1865,기흥,B,37.275619,127.115936
1867,청명,B,37.259489,127.078934
1868,영통,B,37.251568,127.071394
1870,매탄권선,B,37.252759,127.040566
1871,수원시청,B,37.261911,127.030736
1879,월곶,SU,37.391769,126.742699
1880,소래포구,SU,37.40095,126.733522
1881,인천논현,SU,37.400614,126.722478
1883,남동인더스파크,SU,37.407722,126.695216
1885,연수,SU,37.417804,126.67894
1901,방학,1,37.667503,127.044273
1902,도봉,1,37.679563,127.045595
1903,도봉산,1,37.689313,127.046222
2712,도봉산,7,37.689313,127.046222
4602,회룡,U,37.724846,127.046895
1905,회룡,1,37.724846,127.046895
1906,의정부,1,37.738415,127.045958
1907,가능,1,37.748577,127.044213
1908,녹양,1,37.75938,127.042292
1909,양주,1,37.774381,127.044708
1910,덕계,1,37.818486,127.056486
1911,덕정,1,37.843188,127.061277
1912,지행,1,37.892334,127.055716
1914,보산,1,37.913702,127.057277
1915,동두천,1,37.927878,127.05479
1916,소요산,1,37.9481,127.061034
1917,마전(무정차),1,,
2645,석계,6,37.614805,127.065851
1018,석계,1,37.614805,127.065851
1019,광운대,1,37.623632,127.061835
1308,광운대,G,37.623632,127.061835
1020,월계,1,37.633212,127.058831
1021,녹천,1,37.644799,127.051269
1024,한티,B,37.496237,127.052873
1026,구룡,B,37.486839,127.058856
1027,개포동,B,37.489116,127.06614
1028,대모산입구,B,37.491373,127.07272
2821,복정,8,37.470047,127.126662
1031,복정,B,37.470047,127.126662
1032,신길,1,37.517122,126.917169
2526,신길,5,37.517122,126.917169
1307,중랑,G,37.594917,127.076116
1201,중랑,K,37.594917,127.076116
1203,망우,K,37.59955,127.091909
1310,망우,G,37.59955,127.091909
1204,양원,K,37.606596,127.107906
1205,구리,K,37.603392,127.143869
1206,도농,K,37.608806,127.161153
1207,양정,K,37.60533,127.19364
1208,덕소,K,37.586781,127.208832
1209,도심,K,37.579622,127.222672
1210,팔당,K,37.547371,127.243939
1211,운길산,K,37.554669,127.310115
1212,양수,K,37.545981,127.329098
1213,신원,K,37.525545,127.372921
1214,국수,K,37.516169,127.399367
1215,아신,K,37.51382,127.443173
1216,오빈,K,37.506062,127.473868
1217,양평(경의중앙선),K,37.492832,127.491814
1218,원덕,K,37.468672,127.547076
1219,용문,K,37.48223,127.594647
1251,서울(경의중앙선),K,37.556328,126.969522
1252,신촌(경의중앙선),K,37.559783,126.942319
1263,서강대,K,37.551881,126.935711
1265,가좌,K,37.568491,126.915487
1267,수색,K,37.580842,126.895611
1268,화전,K,37.602888,126.868387
1270,행신,K,37.612102,126.834146
1271,능곡,K,37.618808,126.820783
1272,곡산,K,37.645676,126.801762
1273,백마,K,37.658239,126.794461
1274,풍산,K,37.672346,126.786243
1275,일산,K,37.682077,126.769846
1278,운정,K,37.725826,126.767257
1279,금릉,K,37.751322,126.765347
1282,월롱,K,37.796188,126.792587
1283,파주,K,37.815298,126.792783
1284,문산,K,37.854619,126.788047
1312,갈매,G,37.634118,127.114757
1313,별내,G,37.64202,127.12684
1315,사릉,G,37.65108,127.176933
1316,금곡,G,37.637382,127.207853
1317,평내호평,G,37.653225,127.244493
1319,마석,G,37.652782,127.311767
1320,대성리,G,37.684071,127.379319
1321,청평,G,37.735488,127.42661
1323,가평,G,37.814536,127.510739
1324,굴봉산,G,37.832067,127.557695
1326,강촌,G,37.805723,127.634146
1327,김유정,G,37.818466,127.71434
1328,남춘천,G,37.864007,127.723792
1401,봉명,1,36.801215,127.135763
1402,쌍용(나사렛대),1,36.793759,127.1214
1404,탕정,1,,
1405,배방,1,36.777629,127.052991
1406,풍기,1,,
1407,온양온천,1,36.780483,127.003249
1450,선바위,4,37.451673,127.002303
1451,경마공원,4,37.443885,127.007888
1452,대공원,4,37.435675,127.006523
1453,과천,4,37.433021,126.996568
1454,정부과천청사,4,37.426513,126.98978
1455,인덕원,4,37.401553,126.976715
1456,평촌,4,37.394287,126.963883
1457,범계,4,37.389793,126.950806
1708,금정,1,37.372221,126.943429
1458,금정,4,37.372221,126.943429
1701,구로,1,37.503039,126.881966
2748,가산디지털단지,7,37.481072,126.882343
1702,가산디지털단지,1,37.481072,126.882343
1703,금천구청,1,37.455626,126.89398
1704,석수,1,37.435047,126.902295
1706,안양,1,37.401592,126.922874
1707,명학,1,37.384653,126.935433
1709,군포,1,37.35356,126.948462
1710,의왕,1,37.320852,126.948217
1711,성균관대,1,37.300349,126.97075
1713,수원,1,37.265974,126.999874
1846,수원,B,37.265974,126.999874
1714,독산,1,37.466613,126.889249
1715,세류,1,37.245025,127.013222
1716,병점,1,37.207503,127.032731
1717,세마,1,37.187533,127.04318
1718,오산대,1,37.168953,127.063197
1719,오산,1,37.145885,127.06672
1720,진위,1,37.109447,127.062278
1721,송탄,1,37.075696,127.054301
1722,서정리,1,37.056496,127.052819
1723,지제,1,37.0188,127.070444
1724,평택,1,36.990726,127.085159
1725,성환,1,36.916076,127.126964
1726,직산,1,36.870593,127.143904
1729,당정,1,37.344285,126.948345
1749,서동탄,1,37.195504,127.051672
1750,광명,1,37.416182,126.884466
1751,산본,4,37.358101,126.933274
1752,대야미,4,37.328467,126.917332
1753,반월,4,37.312212,126.903524
1754,상록수,4,37.302795,126.866489
1755,한대앞,4,37.309689,126.85344
1757,고잔,4,37.316777,126.823249
1758,초지,4,37.320646,126.805913
1759,안산,4,37.327082,126.788532
1760,신길온천,4,37.338212,126.765844
1761,정왕,4,37.351735,126.742989
1877,오이도,SU,37.362357,126.738714
1762,오이도,4,37.362357,126.738714
1801,개봉,1,37.494594,126.85868
1802,오류동,1,37.494526,126.845365
1803,역곡,1,37.485178,126.811502
1804,부천,1,37.48405,126.782686
1805,송내,1,37.4876,126.753664
3120,부평,I,37.489493,126.724805
1806,부평,1,37.489493,126.724805
1807,백운,1,37.483664,126.707704
1808,동암,1,37.471408,126.702896
1810,제물포,1,37.466769,126.656666
1811,동인천,1,37.475276,126.632802
1813,구일,1,37.496756,126.870793
