id, method,score
1,1,27
2,1,5
3,1,21
4,1,
5,1,14
6,1,23
7,1,20
8,1,9
9,1,28
10,1,15
11,1,29
12,1,
13,1,9
14,1,5
15,1,19
16,1,13
17,1,10
18,1,29
19,1,5
20,1,28
21,1,6
22,1,20
23,1,17
24,1,9
25,2,19
26,2,45
27,2,21
28,2,37
29,2,26
30,2,26
31,2,24
32,2,37
33,2,34
34,2,44
35,2,39
36,2,20
37,2,
38,2,15
39,2,41
40,2,38
41,2,21
42,2,26
43,2,26
44,2,22
45,2,
46,2,31
47,2,34
48,2,27
49,2,21
50,2,32
51,2,35
52,2,35
53,2,29
54,2,43
55,2,18
56,2,15
57,2,
58,2,30
59,2,23
60,2,32
61,2,
62,2,28
63,2,29
