Date,MinTemp,MaxTemp,Rainfall,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
2014-11-01,8,24.3,0,6.3,NW,30,NW,20,29,1015,7,23.6,No,Yes
2014-11-02,14,26.9,3.6,9.7,ENE,39,W,17,36,1008.4,3,25.7,Yes,Yes
2014-11-03,13.7,23.4,3.6,3.3,NW,85,NNE,6,69,1007.2,7,20.2,Yes,Yes
2014-11-04,13.3,15.5,39.8,9.1,NW,54,W,24,56,1007,7,14.1,Yes,Yes
2014-11-05,7.6,16.1,2.8,10.6,SSE,50,ESE,28,49,1018.5,7,15.4,Yes,No
2014-11-06,6.2,16.9,0,8.2,SE,44,E,24,57,1021.7,5,14.8,No,No
2014-11-07,6.1,18.2,0.2,8.4,SE,43,ESE,26,47,1022.2,6,17.3,No,No
2014-11-08,8.3,17,0,4.6,E,41,E,24,57,1024.2,7,15.5,No,No
2014-11-09,8.8,19.5,0,4.1,S,48,ENE,17,48,1022.7,7,18.9,No,Yes
2014-11-10,8.4,22.8,16.2,7.7,E,31,ESE,6,32,1020.7,1,21.7,Yes,No
2014-11-11,9.1,25.2,0,11.9,N,30,NW,9,34,1021.1,2,24,No,No
2014-11-12,8.5,27.3,0.2,12.5,E,41,NW,15,35,1019.9,3,26,No,No
2014-11-13,10.1,27.9,0,13,WNW,30,NW,7,29,1017.1,1,27.1,No,No
2014-11-14,12.1,30.9,0,12.4,NW,44,W,20,20,1013.1,4,30.7,No,No
2014-11-15,10.1,31.2,0,13.1,NW,41,W,20,16,1013.7,1,30.4,No,No
2014-11-16,12.4,32.1,0,11.1,E,46,WSW,9,22,1012.8,3,30.7,No,No
2014-11-17,13.8,31.2,0,8.4,ESE,44,W,19,23,1009.8,6,29.8,No,Yes
2014-11-18,11.7,30,1.2,10.1,S,52,NE,11,26,1013,5,28.6,Yes,No
2014-11-19,12.4,32.3,0.6,13,E,39,W,17,25,1013.3,3,31.2,No,No
2014-11-20,15.6,33.4,0,10.4,NE,33,NNW,13,27,1013.7,1,32,No,No
2014-11-21,15.3,33.4,0,9.5,WNW,59,NW,31,26,1006.5,5,32.8,No,No
2014-11-22,16.4,19.4,0.4,0,E,26,E,11,72,1008.9,8,18.3,No,Yes
2014-11-23,12.8,18.5,25.8,0.6,ESE,28,SE,13,79,1014.9,8,16.8,Yes,No
2014-11-24,12,24.3,0.4,7.5,NNE,26,NE,9,57,1019.2,5,22.8,No,No
2014-11-25,15.4,28.4,0,8.1,ENE,33,NE,15,31,1018.6,2,27.3,No,No
2014-11-26,15.6,26.9,0,8.9,E,41,E,22,48,1016.5,4,25.1,No,No
2014-11-27,13.3,22.2,0.2,2.3,ENE,39,E,17,55,1018.6,7,21.2,No,No
2014-11-28,12.9,28,0,10.7,S,52,NNE,11,31,1014.8,7,26.7,No,No
2014-11-29,15.1,24.3,0,0.4,SE,39,SE,17,80,1017.1,7,19.7,No,No
2014-11-30,13.6,24.1,0.4,0.5,NNW,30,S,6,49,1013.3,7,23.2,No,Yes
2014-12-01,15.1,20.4,22.6,0.2,SSE,41,S,20,90,1014.1,8,16.3,Yes,Yes
2014-12-02,11.6,26.3,4.2,12,NNE,41,SW,9,46,1009.5,2,25.2,Yes,No
